MPR,ReadDate,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400
19283746,16/02/2023,2.6994,2.0251,3.2626,2.2495,3.3748,2.6994,2.1373,3.9369,2.3628,3.0371,2.7843,2.7843,3.0064,2.45,2.3389,3.675,1.8925,2.7843,3.5628,2.1157,3.5628,2.0046,3.5628,3.0064,2.2268,3.1175,2.7843,2.2268,3.4518,1.8925,2.6721,2.7843,2.2268,3.3407,2.45,1.6704,3.675,2.0046,3.0064,2.1157,2.45,3.4518,1.4471,2.6721,3.0064,2.2268,3.0064,2.7843
19283746,14/06/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6003,0.0,1.4693,0.0,1.5832,0.0,1.0171,0.3394,1.0171,0.3394,0.0,0.0,0.3394,0.1128,0.0,0.0,0.0,0.0,0.2266,0.0,0.4522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,23/06/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9408,0.5706,0.4567,1.0273,0.5706,0.9134,0.0,0.5706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,19/01/2023,3.3407,3.7861,3.1175,3.7861,3.5628,3.3407,4.0093,2.7843,4.0093,3.5628,4.3203,2.9911,3.9888,3.8773,2.8806,3.9888,3.8773,3.6563,3.8773,3.4342,4.0993,2.8806,4.0993,2.9911,4.0993,3.6563,2.8806,4.0993,2.9911,3.7668,3.9888,2.9911,4.2098,3.2132,3.6563,4.0993,2.7701,3.9888,3.5447,3.5447,3.8773,3.4342,3.3237,3.6563,3.3237,4.0993,3.3237,3.5447
19283746,06/03/2023,2.7701,3.1016,1.7723,3.8773,1.7723,3.1016,2.548,3.2132,2.8806,2.7701,2.2268,3.8971,2.0046,2.5611,3.0064,4.1204,4.1204,3.0064,3.5628,4.1204,3.3407,3.2296,3.7861,2.8954,3.2296,3.5628,3.3407,3.4518,3.4518,3.0064,3.4518,2.7843,2.8954,3.4518,3.2296,3.1175,3.675,2.7843,2.7843,3.5628,3.3407,2.7843,3.0064,3.3407,3.3407,2.7843,3.1175,3.3407
19283746,30/04/2023,1.4545,1.7905,0.8953,2.1265,1.1196,0.7836,2.5741,0.7836,1.5672,1.6789,0.893,2.3449,1.2281,0.7816,2.679,0.893,1.5633,1.6746,0.893,2.3449,1.1168,0.7816,2.679,0.6703,1.5633,1.786,0.893,1.0043,1.8973,0.7816,2.1211,1.1168,0.6703,2.4563,0.6703,0.893,2.3449,0.6703,1.0043,1.786,0.7816,2.1211,0.893,0.893,2.3449,0.893,0.6703,2.1211
19283746,14/03/2023,2.2211,2.888,2.7772,1.8877,2.6653,2.888,2.7772,2.888,2.6653,2.6653,3.1095,1.8877,3.9991,1.9995,2.333,3.443,2.2211,2.2211,2.6653,1.9995,3.7764,1.5553,2.888,2.333,2.9988,2.6653,2.1103,2.7772,2.4438,2.1103,3.2214,1.9995,2.9988,2.2211,2.5545,2.888,2.333,2.7772,2.888,2.7772,2.9988,2.4438,2.333,3.3322,2.2211,3.1095,2.7772,2.7772
19283746,21/03/2023,1.7678,2.763,1.6576,2.6517,1.7678,2.4313,2.0995,1.878,2.4313,2.763,1.7678,2.763,2.321,1.6576,2.4313,2.321,1.7678,2.9834,1.7678,2.0995,2.5415,1.9893,2.2097,2.4313,1.4361,2.6517,1.9893,2.4313,1.6576,1.878,1.4361,2.9834,1.1054,2.321,1.6576,1.878,2.4313,1.6576,1.5474,2.4313,1.7678,1.878,1.9893,2.0995,1.9893,2.4313,2.0995,1.7678
19283746,26/05/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.873,1.2531,0.0,1.8223,0.5692,1.4804,0.0,0.6839,1.0248,0.0,0.0,1.3667,0.0,1.0248,0.0,0.0,0.0,0.0,0.0,0.4556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,13/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0,1.3565,0.0,2.3747,0.6788,0.4522,1.3565,0.4522,0.5649,0.3394,0.1128,0.2266,0.2266,0.2266,0.1128,0.2266,0.2266,0.1128,0.2266,0.2266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,26/02/2023,2.9911,2.1049,2.548,2.9911,2.6585,2.8806,2.9911,1.8828,2.8806,2.8806,2.2154,3.1016,2.4375,2.6585,3.2132,2.4375,2.6585,2.7701,2.7701,2.6585,2.7701,2.6585,2.7701,2.2154,2.7701,2.548,2.7701,2.8806,1.9944,2.327,2.8806,1.6618,2.8806,2.6585,2.327,2.548,2.6585,2.548,2.7701,2.327,2.9911,2.6585,1.9944,2.7701,2.327,2.548,2.9911,2.1049
19283746,08/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5951,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,12/02/2023,2.6858,1.7905,1.9021,3.0218,1.4545,2.7985,2.0149,2.6858,1.6789,2.9101,1.6661,2.7772,1.9995,1.7769,2.6653,2.333,2.2211,1.6661,3.2214,1.3327,2.7772,1.9995,2.5545,1.7769,2.9988,1.4434,2.7772,2.2211,2.1103,1.9995,2.333,2.4438,2.1103,2.6653,1.7769,2.888,1.9995,2.2211,1.9995,2.6653,1.7769,2.888,1.5553,2.888,1.8877,2.6653,1.6661,2.9988
